"player","white_games","black_games","total"
"GigaChad-Fan","21","22","43"
"MFORTAC","22","21","43"
"sabbiabianca","22","21","43"
"ToastedSandwich","20","23","43"
"MastacticaTeoria","21","21","42"
"muleya11","21","21","42"
"Ra911","19","23","42"
"Savage_Wateri","23","19","42"
"thedestroyer2012","21","21","42"
"UdevDPalliyage","21","21","42"
"wrd1396","22","20","42"
"yocoloco","20","22","42"
"akinfenewaking","21","20","41"
"ArduinoGuy","18","23","41"
"Chaktic_Gaming","20","21","41"
"david2013champion","20","21","41"
"Doedelchen","21","20","41"
"EPHS-Khan","21","20","41"
"Mik_Oleg","19","22","41"
"ZooZ-9B","19","22","41"
"AbramEhab","19","21","40"
"adrianmiranda2008","21","19","40"
"alemogh","19","21","40"
"bayorov","20","20","40"
"bobthehouse","20","20","40"
"cactus_RUS","20","20","40"
"cACtuss1","19","21","40"
"drsdryhhh","18","22","40"
"franjacruzado","20","20","40"
"kamnur2011","20","20","40"
"kocabuzdolabi","19","21","40"
"Oktay0913","19","21","40"
"vivnnornd","20","20","40"
"KirCat777","23","16","39"
"miss_ChessMaster","20","19","39"
"NKGoesToWin","20","19","39"
"QS1000","18","21","39"
"Run_King_Run","19","20","39"
"thelastone111","20","19","39"
"tuluz","20","19","39"
"AdAm_GaVrIeL","17","21","38"
"Blue_bubblegum","20","18","38"
"Gulideev_55555","19","19","38"
"gungorabdullahselim","20","18","38"
"LucienTupin","19","19","38"
"MDRAMY11","18","20","38"
"piternuber","19","19","38"
"RauchKing","19","19","38"
"RohanParsan118","19","19","38"
"RyanRajesh","22","16","38"
"SupremePatzer","18","20","38"
"ultraliskus","21","17","38"
"younes_al19","20","18","38"
"Abedzadeh_Alireza","20","17","37"
"AEK_amineTM","16","21","37"
"ArjunChessIndian","19","18","37"
"aryel321","17","20","37"
"Black_Zorbas","17","20","37"
"gmficher2020","18","19","37"
"impogthefunnyfrog","18","19","37"
"Jaiver-camilo","19","18","37"
"KauSal-Pingling","19","18","37"
"LassWag2021i","18","19","37"
"MrRudolf","19","18","37"
"PeterRazin","19","18","37"
"sarikaan","18","19","37"
"SeahorseVortex","18","19","37"
"Statham_13","19","18","37"
"Tembee","19","18","37"
"andreykrilov25","19","17","36"
"French_Tickle","18","18","36"
"GR_GRISSLY","18","18","36"
"Grutel","18","18","36"
"itoshu","18","18","36"
"KoT_Tropical","18","18","36"
"mikl25rus","19","17","36"
"Misha_Star_10","17","19","36"
"Mozs1999","17","19","36"
"pc2007","18","18","36"
"PowerGamer2002","17","19","36"
"rosas2223","18","18","36"
"Sharkmeister2","18","18","36"
"sparrow_1","20","16","36"
"www-hubofgaming-com","19","17","36"
"alexnajax","18","17","35"
"AMSABandara","19","16","35"
"Anandhu_Sadurangam","17","18","35"
"apramay05","17","18","35"
"COOLLOLDING","18","17","35"
"davisocaisub10","16","19","35"
"EAADHAVAN2015","18","17","35"
"echecs29","17","18","35"
"fireonyourboard1","18","17","35"
"Free6002","18","17","35"
"ItachiUchiha2010","16","19","35"
"James_87","17","18","35"
"Kasts","17","18","35"
"kian_fardi","17","18","35"
"LukeChessMaster","18","17","35"
"PapaT_89","18","17","35"
"Solomeoazul","17","18","35"
"Successmln","18","17","35"
"SuperSpacer","17","18","35"
"tiki-taka-tiky","19","16","35"
"tsepelovo_zagori","18","17","35"
"Ajedrezultrabullet","17","17","34"
"akheyfets","16","18","34"
"artin2012","17","17","34"
"austinmoet","16","18","34"
"BSAKETH","17","17","34"
"Cristhian16","17","17","34"
