"player","white_games","black_games","total"
"O_Serra8","5","4","9"
"ombalo","4","5","9"
"osval2l","6","3","9"
"ozhigin","5","4","9"
"palencia","4","5","9"
"pashachapst1ck","4","5","9"
"Pavel_Sizikov2015","4","5","9"
"PAZIFISTinRAGE","4","5","9"
"PEDDAVEMGARI","4","5","9"
"peymann","5","4","9"
"Phoenix_2309","5","4","9"
"posaram","5","4","9"
"pruthbruz_876","5","4","9"
"Puzzelxd","3","6","9"
"ReneHH","4","5","9"
"RithinPothuru","4","5","9"
"Roberto1977J","2","7","9"
"royproulx","5","4","9"
"RudiB","5","4","9"
"sashashev","5","4","9"
"sergio1280bro","4","5","9"
"shahabzade","4","5","9"
"shivasharghii","5","4","9"
"shlomob123","4","5","9"
"shortyadamshardwick","3","6","9"
"Sidonio","4","5","9"
"sinagafernan17","3","6","9"
"sk_Manisha","4","5","9"
"Spaceshipcat","5","4","9"
"Ssaber66","5","4","9"
"StefanMG","8","1","9"
"Stonycreek","5","4","9"
"sukru_K","5","4","9"
"Sylverchess","5","4","9"
"tarigopulak","5","4","9"
"TatiSpace","5","4","9"
"Tomcat26_79","4","5","9"
"Tshiva9700","5","4","9"
"ubagam","5","4","9"
"vicky_virat","4","5","9"
"Viktor5691","6","3","9"
"Voloplote","4","5","9"
"waelhamza","4","5","9"
"Wallauer","6","3","9"
"xAlekhine777","5","4","9"
"YoBot_v2","5","4","9"
"Zaby75","5","4","9"
"Zaipulla1939","5","4","9"
"ZAXAP27","4","5","9"
"zinoukako","5","4","9"
"zurab1234","5","4","9"
"abscho14","4","4","8"
"Abu_Musa","4","4","8"
"addy122","4","4","8"
"Agent32","5","3","8"
"Aguskusmono2023","3","5","8"
"AJsebastian","4","4","8"
"Al_Martins","4","4","8"
"alena_star","4","4","8"
"AmiraliEizadi1387","4","4","8"
"Andrewttng","4","4","8"
"anmrose","3","5","8"
"AntoniosNls","5","3","8"
"AntonovAlbert","2","6","8"
"argosat13","5","3","8"
"ariff_cb22107","5","3","8"
"ArseniyKhitrov","3","5","8"
"Artem13_79","5","3","8"
"artem2000","5","3","8"
"ArturoSL22","6","2","8"
"Ashu3636","3","5","8"
"AudienzBeimKhan","3","5","8"
"baldac","4","4","8"
"bayram77","3","5","8"
"Belonojckoivan","3","5","8"
"Bethalasony","4","4","8"
"BitburgBaron","4","4","8"
"black-not-white","4","4","8"
"BlessmySoul","3","5","8"
"boojo26","4","4","8"
"chaman92","5","3","8"
"ChampionVologda","4","4","8"
"chess_man_2000","1","7","8"
"Chessmaster5347","4","4","8"
"CigaretteSmokinMan","3","5","8"
"Clavel","2","6","8"
"coppie3","3","5","8"
"cploton","2","6","8"
"Dabadmanalex","4","4","8"
"Dbreeze90","4","4","8"
"Deepamma","4","4","8"
"desmond84","4","4","8"
"diegoman","4","4","8"
"DINAR_SIRAZEEV","5","3","8"
"Drama187","5","3","8"
"DrStan","5","3","8"
"dtdevens","4","4","8"
"Editor_in_chief","5","3","8"
"elsagoeschess","3","5","8"
"embergod","6","2","8"
"Enrico67","4","4","8"
"EnZo8466","4","4","8"
"ericm119","4","4","8"
"Eva_Monastirskaya","3","5","8"
"Fathy-aly","4","4","8"
"fbslipknot","4","4","8"
"Fittrader","5","3","8"
"Forcethehorse17","4","4","8"
"Friend_123","4","4","8"
"Galdorcraeft","4","4","8"
"gilsonviola6","4","4","8"
"Gina25","3","5","8"
"globocule","4","4","8"
"Good_luck_my_friend","3","5","8"
"gugulavath","5","3","8"
"GZenChess99","4","4","8"
"H00gie","6","2","8"
"harimachavarapu","5","3","8"
"Heisenhuegel","3","5","8"
"Henkelmann","4","4","8"
"hgw0811","3","5","8"
"Hototo","4","4","8"
"igrok51","2","6","8"
"IIIopox","3","5","8"
"Ilduschess","3","5","8"
"invachess90","4","4","8"
"isa_2d","5","3","8"
"jakethesnake01","4","4","8"
"Jamikl","4","4","8"
"jamudalapalli","5","3","8"
"JANVI1806","4","4","8"
"Jasem85","5","3","8"
"Javitoy","3","5","8"
"Jojver","4","4","8"
"jundumo","4","4","8"
"jurko811","4","4","8"
"karaktalal","4","4","8"
"karmnik","5","3","8"
"karthik8888","3","5","8"
"kidludacris","4","4","8"
"Kinbote94","4","4","8"
"kioto","5","3","8"
"Kittu_Alba56","5","3","8"
"kocageci","5","3","8"
"KoelnerJAlex","4","4","8"
"KoHcTaHTuH_Moskva","4","4","8"
"kreeg","3","5","8"
"kriss","2","6","8"
"Kulagaa","3","5","8"
"Kulkarniv","5","3","8"
"Latheef83","4","4","8"
"lechenko","4","4","8"
"Lecter_9","2","6","8"
"Legioner01","4","4","8"
"leonruben","4","4","8"
"Little_Velican","5","3","8"
"lopezjan","4","4","8"
"LoupFro","4","4","8"
"LRRTOMCK","3","5","8"
"LuEi1504","3","5","8"
"m7606319e","5","3","8"
"madhavam123","4","4","8"
"Magadikaushu","3","5","8"
"maj0ran","7","1","8"
"MalherbeYvan","3","5","8"
"mansoord0150","5","3","8"
"Manticore95","3","5","8"
"Mapacheaniquilador","4","4","8"
"masterfideee","3","5","8"
"Mazhar5ada3","4","4","8"
"medomahmough","4","4","8"
"Mehdi-Mokrani","4","4","8"
"MishaBlACK","3","5","8"
"mmm9262","3","5","8"
"mr_mohanta_2008","4","4","8"
